nodo_id,latitude,longitude,msnm
525,18.37,-67.22,7
526,18.37,-67.18,20
527,18.37,-67.14,34
528,18.37,-67.1,78
529,18.37,-67.06,114
530,18.37,-67.02,166
531,18.37,-66.98,227
532,18.37,-66.94,249
533,18.37,-66.9,241
534,18.37,-66.86,281
535,18.37,-66.82,246
536,18.37,-66.78,248
537,18.37,-66.74,218
538,18.37,-66.7,193
539,18.37,-66.66,177
540,18.37,-66.62,217
541,18.37,-66.58,205
542,18.37,-66.54,195
543,18.37,-66.5,128
544,18.37,-66.46,191
545,18.37,-66.42,156
546,18.37,-66.38,133
547,18.37,-66.34,124
548,18.37,-66.3,134
549,18.37,-66.26,105
550,18.37,-66.22,53
551,18.37,-66.18,30
552,18.37,-66.14,30
553,18.37,-66.1,44
554,18.37,-66.06,40
555,18.37,-66.02,58
556,18.37,-65.98,37
557,18.37,-65.94,14
558,18.37,-65.9,17
559,18.37,-65.86,13
560,18.37,-65.82,12
561,18.37,-65.78,34
562,18.37,-65.74,10
563,18.37,-65.7,3
564,18.37,-65.66,0
565,18.37,-65.62,4
566,18.37,-65.34,0
567,18.37,-65.3,0
568,18.37,-65.26,0
569,18.37,-65.02,0
570,18.37,-64.98,8
571,18.37,-64.94,10
572,18.37,-64.9,4
573,18.37,-64.86,0
574,18.37,-64.82,0
575,18.37,-64.78,0
576,18.37,-64.74,10
577,18.37,-64.7,11
578,18.37,-64.66,37
579,18.37,-64.62,0
580,18.37,-64.58,0
581,18.41,-67.26,0
582,18.41,-67.22,0
583,18.41,-67.18,14
584,18.41,-67.14,159
585,18.41,-67.1,209
586,18.41,-67.06,226
587,18.41,-67.02,240
588,18.41,-66.98,258
589,18.41,-66.94,232
590,18.41,-66.9,227
591,18.41,-66.86,208
592,18.41,-66.82,167
593,18.41,-66.78,157
594,18.41,-66.74,144
595,18.41,-66.7,53
596,18.41,-66.66,112
597,18.41,-66.62,137
598,18.41,-66.58,135
599,18.41,-66.54,86
600,18.41,-66.5,68
601,18.41,-66.46,112
602,18.41,-66.42,107
603,18.41,-66.38,75
604,18.41,-66.34,57
605,18.41,-66.3,65
606,18.41,-66.26,48
607,18.41,-66.22,42
608,18.41,-66.18,20
609,18.41,-66.14,16
610,18.41,-66.1,15
611,18.41,-66.06,11
612,18.41,-66.02,8
613,18.41,-65.98,7
614,18.41,-65.94,6
615,18.41,-65.9,4
616,18.41,-65.86,4
617,18.41,-65.82,2
