nodo_id,cvegeo,ciudad,municipio,cve_mun,es_cabecera,conglomerado,nombre_conglomerado,metodo,peso,area_urbana_celda_km2,dist_centro_km,n_nodos_dentro,n_nodos_ciudad,calidad,region
3924,280330001,Ciudad Río Bravo,Río Bravo,033,True,54,Ciudad Río Bravo,celda,0.242353,6.8558,2.189,2,6,media,Fronteriza
3925,280330001,Ciudad Río Bravo,Río Bravo,033,True,54,Ciudad Río Bravo,celda,0.212703,6.017,3.882,2,6,media,Fronteriza
3951,280330001,Ciudad Río Bravo,Río Bravo,033,True,54,Ciudad Río Bravo,dentro,0.209135,5.9161,2.443,2,6,media,Fronteriza
3952,280330001,Ciudad Río Bravo,Río Bravo,033,True,54,Ciudad Río Bravo,dentro,0.155558,4.4005,4.031,2,6,media,Fronteriza
3950,280330001,Ciudad Río Bravo,Río Bravo,033,True,54,Ciudad Río Bravo,celda,0.096959,2.7428,5.241,2,6,media,Fronteriza
3923,280330001,Ciudad Río Bravo,Río Bravo,033,True,54,Ciudad Río Bravo,celda,0.083292,2.3562,5.129,2,6,media,Fronteriza
713,280390001,Ciudad Tula,Tula,039,True,3,Ciudad Tula,celda,0.526348,4.969,2.393,0,4,baja,Altiplano
654,280390001,Ciudad Tula,Tula,039,True,3,Ciudad Tula,celda,0.221442,2.0905,3.655,0,4,baja,Altiplano
712,280390001,Ciudad Tula,Tula,039,True,3,Ciudad Tula,celda,0.215227,2.0318,2.668,0,4,baja,Altiplano
655,280390001,Ciudad Tula,Tula,039,True,3,Ciudad Tula,celda,0.036984,0.3491,3.459,0,4,baja,Altiplano
1737,280410001,Ciudad Victoria,Victoria,041,True,10,Ciudad Victoria,dentro,0.244836,17.2738,1.241,3,12,alta,Centro
1789,280410001,Ciudad Victoria,Victoria,041,True,10,Ciudad Victoria,dentro,0.175971,12.4152,3.208,3,12,alta,Centro
1736,280410001,Ciudad Victoria,Victoria,041,True,10,Ciudad Victoria,dentro,0.155328,10.9588,3.968,3,12,alta,Centro
1738,280410001,Ciudad Victoria,Victoria,041,True,10,Ciudad Victoria,celda,0.129648,9.147,4.499,3,12,alta,Centro
1788,280410001,Ciudad Victoria,Victoria,041,True,10,Ciudad Victoria,celda,0.120238,8.4831,4.949,3,12,alta,Centro
1790,280410001,Ciudad Victoria,Victoria,041,True,10,Ciudad Victoria,celda,0.076857,5.4225,5.384,3,12,alta,Centro
1684,280410001,Ciudad Victoria,Victoria,041,True,10,Ciudad Victoria,celda,0.04512,3.1834,5.622,3,12,alta,Centro
1683,280410001,Ciudad Victoria,Victoria,041,True,10,Ciudad Victoria,celda,0.035927,2.5347,6.769,3,12,alta,Centro
1685,280410001,Ciudad Victoria,Victoria,041,True,10,Ciudad Victoria,celda,0.007579,0.5347,7.093,3,12,alta,Centro
1739,280410001,Ciudad Victoria,Victoria,041,True,10,Ciudad Victoria,celda,0.006911,0.4876,8.476,3,12,alta,Centro
1835,280410001,Ciudad Victoria,Victoria,041,True,10,Ciudad Victoria,celda,0.001244,0.0877,7.608,3,12,alta,Centro
1834,280410001,Ciudad Victoria,Victoria,041,True,10,Ciudad Victoria,celda,0.000341,0.0241,8.49,3,12,alta,Centro
4039,280070016,Comales,Camargo,007,False,38,Comales,celda,0.560188,1.0209,2.276,0,3,baja,Fronteriza
4040,280070016,Comales,Camargo,007,False,38,Comales,celda,0.429178,0.7821,2.37,0,3,baja,Fronteriza
4061,280070016,Comales,Camargo,007,False,38,Comales,celda,0.010634,0.0194,3.81,0,3,baja,Fronteriza
2953,280100001,Cruillas,Cruillas,010,True,33,Cruillas,celda,0.773472,0.8924,1.844,0,2,baja,Valle de San Fernando
2915,280100001,Cruillas,Cruillas,010,True,33,Cruillas,celda,0.226528,0.2614,2.615,0,2,baja,Valle de San Fernando
142,280030043,Cuauhtémoc,Altamira,003,False,42,Cuauhtémoc,celda,0.744916,2.1494,2.075,0,3,baja,Sur
178,280030043,Cuauhtémoc,Altamira,003,False,42,Cuauhtémoc,celda,0.184245,0.5316,3.047,0,3,baja,Sur
141,280030043,Cuauhtémoc,Altamira,003,False,42,Cuauhtémoc,celda,0.070838,0.2044,3.26,0,3,baja,Sur
4350,280270162,El Campanario y Oradel,Nuevo Laredo,027,False,19,Nuevo Laredo,celda,0.716578,1.3658,1.964,0,2,baja,Fronteriza
4340,280270162,El Campanario y Oradel,Nuevo Laredo,027,False,19,Nuevo Laredo,celda,0.283422,0.5402,2.488,0,2,baja,Fronteriza
3931,280220104,El Control,Matamoros,022,False,53,Ramírez,celda,0.98342,1.452,1.293,0,3,baja,Fronteriza
3932,280220104,El Control,Matamoros,022,False,53,Ramírez,celda,0.01277,0.0189,3.362,0,3,baja,Fronteriza
3900,280220104,El Control,Matamoros,022,False,53,Ramírez,celda,0.003809,0.0056,3.475,0,3,baja,Fronteriza
442,280210073,El Limón,El Mante,021,False,22,El Limón,celda,0.518367,1.08,2.217,0,3,baja,Mante
498,280210073,El Limón,El Mante,021,False,22,El Limón,celda,0.441238,0.9193,2.345,0,3,baja,Mante
443,280210073,El Limón,El Mante,021,False,22,El Limón,celda,0.040395,0.0842,4.095,0,3,baja,Mante
3658,280400067,El Realito,Valle Hermoso,040,False,50,Valle Hermoso,celda,0.678274,1.1381,2.301,0,3,baja,Fronteriza
3657,280400067,El Realito,Valle Hermoso,040,False,50,Valle Hermoso,celda,0.320879,0.5384,2.873,0,3,baja,Fronteriza
3692,280400067,El Realito,Valle Hermoso,040,False,50,Valle Hermoso,celda,0.000847,0.0014,3.225,0,3,baja,Fronteriza
347,280120170,Estación Manuel (Úrsulo Galván),González,012,False,43,Estación Manuel (Úrsulo Galván),celda,0.545475,3.2537,1.989,0,2,baja,Sur
348,280120170,Estación Manuel (Úrsulo Galván),González,012,False,43,Estación Manuel (Úrsulo Galván),celda,0.454525,2.7112,2.106,0,2,baja,Sur
2053,280160145,Estación Santa Engracia,Hidalgo,016,False,11,Estación Santa Engracia,celda,0.402895,2.2861,1.518,0,4,baja,Centro
2052,280160145,Estación Santa Engracia,Hidalgo,016,False,11,Estación Santa Engracia,celda,0.386867,2.1952,3.189,0,4,baja,Centro
2054,280160145,Estación Santa Engracia,Hidalgo,016,False,11,Estación Santa Engracia,celda,0.174656,0.991,5.216,0,4,baja,Centro
2051,280160145,Estación Santa Engracia,Hidalgo,016,False,11,Estación Santa Engracia,celda,0.035582,0.2019,7.127,0,4,baja,Centro
3187,280350139,General Francisco Villa,San Fernando,035,False,49,General Francisco Villa,celda,0.731448,2.1816,1.838,0,2,baja,Valle de San Fernando
3186,280350139,General Francisco Villa,San Fernando,035,False,49,General Francisco Villa,celda,0.268552,0.801,2.557,0,2,baja,Valle de San Fernando
457,280120001,González,González,012,True,23,González,celda,0.568312,3.4112,2.223,0,4,baja,Sur
513,280120001,González,González,012,True,23,González,celda,0.313183,1.8798,2.648,0,4,baja,Sur
512,280120001,González,González,012,True,23,González,celda,0.080059,0.4805,3.905,0,4,baja,Sur
456,280120001,González,González,012,True,23,González,celda,0.038445,0.2308,3.631,0,4,baja,Sur
246,280120061,Graciano Sánchez,González,012,False,20,Graciano Sánchez,celda,0.877579,2.2048,1.63,0,2,baja,Sur
245,280120061,Graciano Sánchez,González,012,False,20,Graciano Sánchez,celda,0.122421,0.3076,2.597,0,2,baja,Sur
2171,280010111,Guadalupe Victoria,Abasolo,001,False,46,Guadalupe Victoria,celda,1.0,1.8398,1.345,0,1,baja,Centro
784,280110036,Gómez Farías,Gómez Farías,011,True,4,Gómez Farías,celda,0.918222,2.6453,1.486,0,3,baja,Mante
727,280110036,Gómez Farías,Gómez Farías,011,True,4,Gómez Farías,celda,0.053265,0.1535,4.208,0,3,baja,Mante
