nodo_id_viejo,location_id,nodo_id_nuevo
844,1476525,646
845,1476526,596
846,1476526,596
847,1476527,539
848,1476527,539
849,1476528,485
850,1476528,485
851,1476529,431
852,1476529,431
853,1476530,388
854,1476530,388
855,1476531,346
856,1476531,346
857,1476532,298
858,1476532,298
859,1476533,252
860,1476533,252
861,1476534,202
862,1476534,202
863,1476535,157
864,1476535,157
865,1476536,117
866,1476536,117
867,1476537,81
868,1476537,81
869,1476538,48
870,1477708,734
871,1477709,694
872,1477709,694
873,1477710,647
874,1477710,647
875,1477711,597
876,1477711,597
877,1477712,540
878,1477712,540
879,1477713,486
880,1477713,486
881,1477714,432
882,1477714,432
883,1477715,389
884,1477715,389
885,1477716,347
886,1477716,347
887,1477717,299
888,1477717,299
889,1477718,253
890,1477718,253
891,1477719,203
892,1477719,203
893,1477720,158
894,1477720,158
895,1477721,118
896,1477721,118
897,1477722,82
898,1477722,82
899,1477723,49
900,1477709,694
901,1477710,647
902,1477710,647
903,1477711,597
904,1477711,597
905,1477712,540
906,1477712,540
907,1477713,486
908,1477713,486
909,1477714,432
910,1477714,432
911,1477715,389
912,1477715,389
913,1477716,347
914,1477716,347
915,1477717,299
916,1477717,299
917,1477718,253
918,1477718,253
919,1477719,203
920,1477719,203
921,1477720,158
922,1477720,158
923,1477721,118
924,1477721,118
925,1477722,82
926,1477722,82
927,1477723,49
928,1478894,695
929,1478895,648
930,1478895,648
931,1478896,598
932,1478896,598
933,1478897,541
934,1478897,541
935,1478898,487
936,1478898,487
937,1478899,433
938,1478899,433
939,1478900,390
940,1478900,390
941,1478901,348
942,1478901,348
943,1478902,300
944,1478902,300
945,1478903,254
946,1478903,254
947,1478904,204
948,1478904,204
949,1478905,159
950,1478905,159
951,1478906,119
952,1478906,119
953,1478907,83
954,1478907,83
955,1478908,50
956,1478894,695
957,1478895,648
958,1478895,648
959,1478896,598
960,1478896,598
961,1478897,541
962,1478897,541
963,1478898,487
964,1478898,487
965,1478899,433
966,1478899,433
967,1478900,390
968,1478900,390
969,1478901,348
970,1478901,348
971,1478902,300
972,1478902,300
973,1478903,254
974,1478903,254
975,1478904,204
976,1478904,204
977,1478905,159
978,1478905,159
979,1478906,119
980,1478906,119
981,1478907,83
982,1478907,83
983,1478908,50
984,1480074,696
985,1480075,649
986,1480075,649
987,1480076,599
988,1480076,599
989,1480077,542
990,1480077,542
991,1480078,488
992,1480078,488
993,1480079,434
994,1480079,434
995,1480080,391
996,1480080,391
997,1480081,349
998,1480081,349
999,1480082,301
1000,1480082,301
1001,1480083,255
1002,1480083,255
1003,1480084,205
1004,1480084,205
1005,1480085,160
1006,1480085,160
1007,1480086,120
1008,1480086,120
1009,1480087,84
1010,1480087,84
1011,1480088,51
1012,1480074,696
1013,1480075,649
1014,1480075,649
1015,1480076,599
1016,1480076,599
1017,1480077,542
1018,1480077,542
1019,1480078,488
1020,1480078,488
1021,1480079,434
1022,1480079,434
1023,1480080,391
1024,1480080,391
1025,1480081,349
1026,1480081,349
1027,1480082,301
1028,1480082,301
1029,1480083,255
1030,1480083,255
1031,1480084,205
1032,1480084,205
1033,1480085,160
1034,1480085,160
1035,1480086,120
1036,1480086,120
1037,1480087,84
1038,1481259,697
1039,1481260,650
1040,1481260,650
1041,1481261,600
1042,1481261,600
1043,1481262,543
1044,1481262,543
1045,1481263,489
1046,1481263,489
1047,1481264,435
1048,1481264,435
1049,1481265,392
1050,1481265,392
1051,1481266,350
1052,1481266,350
1053,1481267,302
1054,1481267,302
1055,1481268,256
1056,1481268,256
1057,1481269,206
1058,1481269,206
1059,1481270,161
1060,1481270,161
1061,1481271,121
1062,1481271,121
1063,1481272,85
1064,1481259,697
1065,1481260,650
1066,1481260,650
1067,1481261,600
1068,1481261,600
1069,1481262,543
1070,1481262,543
1071,1481263,489
1072,1481263,489
1073,1481264,435
1074,1481264,435
1075,1481265,392
1076,1481265,392
1077,1481266,350
1078,1481266,350
1079,1481267,302
1080,1481267,302
1081,1481268,256
1082,1481268,256
1083,1481269,206
1084,1481269,206
1085,1481270,161
1086,1481270,161
1087,1481271,121
1088,1481271,121
1089,1481272,85
1090,1482444,698
1091,1482445,651
1092,1482445,651
1093,1482446,601
1094,1482446,601
1095,1482447,544
1096,1482447,544
1097,1482448,490
1098,1482448,490
1099,1482449,436
1100,1482449,436
1101,1482450,393
1102,1482450,393
1103,1482451,351
1104,1482451,351
1105,1482452,303
1106,1482452,303
1107,1482453,257
1108,1482453,257
1109,1482454,207
1110,1482454,207
1111,1482455,162
1112,1482455,162
1113,1482456,122
1114,1482456,122
1115,1482457,86
1116,1482444,698
1117,1482445,651
1118,1482445,651
1119,1482446,601
1120,1482446,601
1121,1482447,544
1122,1482447,544
1123,1482448,490
1124,1482448,490
1125,1482449,436
1126,1482449,436
1127,1482450,393
1128,1482450,393
1129,1482451,351
1130,1482451,351
1131,1482452,303
1132,1482452,303
1133,1482453,257
1134,1482453,257
1135,1482454,207
1136,1482454,207
1137,1482455,162
1138,1482455,162
1139,1482456,122
1140,1482456,122
1141,1482457,86
1142,1482457,86
1143,1482458,52
1144,1483631,699
1145,1483632,652
1146,1483632,652
1147,1483633,602
1148,1483633,602
1149,1483634,545
1150,1483634,545
1151,1483635,491
1152,1483635,491
1153,1483636,437
1154,1483636,437
1155,1483637,394
1156,1483637,394
1157,1483638,352
1158,1483638,352
1159,1483639,304
1160,1483639,304
1161,1483640,258
1162,1483640,258
1163,1483641,208
1164,1483641,208
1165,1483642,163
1166,1483642,163
1167,1483643,123
1168,1483643,123
1169,1483644,87
1170,1483644,87
1171,1483645,53
1172,1483631,699
1173,1483632,652
1174,1483632,652
1175,1483633,602
1176,1483633,602
1177,1483634,545
1178,1483634,545
1179,1483635,491
1180,1483635,491
1181,1483636,437
1182,1483636,437
1183,1483637,394
1184,1483637,394
1185,1483638,352
1186,1483638,352
1187,1483639,304
1188,1483639,304
1189,1483640,258
1190,1483640,258
1191,1483641,208
1192,1483641,208
1193,1483642,163
1194,1483642,163
1195,1483643,123
1196,1483643,123
1197,1483644,87
1198,1483644,87
1199,1483645,53
1200,1484821,700
1201,1484822,653
1202,1484822,653
1203,1484823,603
