nodo_id,latitude,longitude,msnm,location_id
565,18.37,-65.62,4,1507775
566,18.37,-65.34,0,1516301
567,18.37,-65.3,0,1517518
568,18.37,-65.26,0,1518734
569,18.37,-65.02,0,1526021
570,18.37,-64.98,8,1527248
571,18.37,-64.94,10,1528465
572,18.37,-64.9,4,1529682
573,18.37,-64.86,0,1530903
574,18.37,-64.82,0,1532125
575,18.37,-64.78,0,1533357
576,18.37,-64.74,10,1534589
577,18.37,-64.7,11,1535831
578,18.37,-64.66,37,1537071
579,18.37,-64.62,0,1538312
580,18.37,-64.58,0,1539545
581,18.41,-67.26,0,1458832
582,18.41,-67.22,0,1460006
583,18.41,-67.18,14,1461181
584,18.41,-67.14,159,1462357
585,18.41,-67.1,209,1463533
586,18.41,-67.06,226,1464709
587,18.41,-67.02,240,1465882
588,18.41,-66.98,258,1467055
589,18.41,-66.94,232,1468234
590,18.41,-66.9,227,1469417
591,18.41,-66.86,208,1470601
592,18.41,-66.82,167,1471786
593,18.41,-66.78,157,1472971
594,18.41,-66.74,144,1474155
595,18.41,-66.7,53,1475340
596,18.41,-66.66,112,1476526
597,18.41,-66.62,137,1477711
598,18.41,-66.58,135,1478896
599,18.41,-66.54,86,1480076
600,18.41,-66.5,68,1481261
601,18.41,-66.46,112,1482446
602,18.41,-66.42,107,1483633
603,18.41,-66.38,75,1484823
604,18.41,-66.34,57,1486021
605,18.41,-66.3,65,1487222
606,18.41,-66.26,48,1488425
607,18.41,-66.22,42,1489628
608,18.41,-66.18,20,1490831
609,18.41,-66.14,16,1492034
610,18.41,-66.1,15,1493239
611,18.41,-66.06,11,1494445
612,18.41,-66.02,8,1495653
613,18.41,-65.98,7,1496864
614,18.41,-65.94,6,1498079
615,18.41,-65.9,4,1499297
616,18.41,-65.86,4,1500509
617,18.41,-65.82,2,1501719
618,18.41,-65.78,1,1502924
619,18.41,-65.74,0,1504136
620,18.41,-65.7,0,1505349
621,18.41,-65.02,0,1526020
622,18.41,-64.98,0,1527247
623,18.41,-64.94,4,1528464
624,18.41,-64.78,0,1533356
625,18.41,-64.74,0,1534588
626,18.41,-64.7,0,1535830
627,18.41,-64.66,57,1537070
628,18.41,-64.62,59,1538311
629,18.41,-64.58,22,1539544
630,18.41,-64.46,1,1543271
631,18.41,-64.42,3,1544507
632,18.41,-64.38,0,1545742
633,18.45,-67.18,35,1461180
634,18.45,-67.14,137,1462356
635,18.45,-67.1,148,1463532
636,18.45,-67.06,162,1464708
637,18.45,-67.02,160,1465881
638,18.45,-66.98,147,1467054
639,18.45,-66.94,147,1468233
640,18.45,-66.9,144,1469416
641,18.45,-66.86,112,1470600
642,18.45,-66.82,87,1471785
643,18.45,-66.78,72,1472970
644,18.45,-66.74,51,1474154
645,18.45,-66.7,7,1475339
646,18.45,-66.66,13,1476525
647,18.45,-66.62,38,1477710
648,18.45,-66.58,48,1478895
649,18.45,-66.54,10,1480075
650,18.45,-66.5,38,1481260
651,18.45,-66.46,23,1482445
652,18.45,-66.42,19,1483632
653,18.45,-66.38,13,1484822
654,18.45,-66.34,16,1486020
655,18.45,-66.3,27,1487221
656,18.45,-66.26,11,1488424
657,18.45,-66.22,2,1489627
658,18.45,-66.18,2,1490830
659,18.45,-66.14,2,1492033
660,18.45,-66.1,3,1493238
661,18.45,-66.06,6,1494444
662,18.45,-66.02,1,1495652
663,18.45,-65.98,2,1496863
664,18.45,-65.94,2,1498078
665,18.45,-65.9,1,1499296
666,18.45,-65.86,0,1500508
667,18.45,-65.82,0,1501718
668,18.45,-65.78,0,1502923
669,18.45,-64.78,6,1533355
670,18.45,-64.74,60,1534587
671,18.45,-64.7,5,1535829
672,18.45,-64.66,3,1537069
673,18.45,-64.62,59,1538310
674,18.45,-64.58,41,1539543
675,18.45,-64.46,0,1543270
676,18.45,-64.42,10,1544506
677,18.45,-64.38,4,1545741
678,18.45,-64.34,0,1546974
679,18.45,-64.3,0,1548182
680,18.49,-67.18,16,1461179
681,18.49,-67.14,71,1462355
682,18.49,-67.1,74,1463531
683,18.49,-67.06,93,1464707
684,18.49,-67.02,87,1465880
685,18.49,-66.98,59,1467053
686,18.49,-66.94,44,1468232
687,18.49,-66.9,34,1469415
688,18.49,-66.86,19,1470599
689,18.49,-66.82,17,1471784
690,18.49,-66.78,15,1472969
691,18.49,-66.74,3,1474153
692,18.49,-66.7,1,1475338
693,18.49,-66.66,2,1476524
694,18.49,-66.62,3,1477709
695,18.49,-66.58,2,1478894
696,18.49,-66.54,3,1480074
697,18.49,-66.5,1,1481259
698,18.49,-66.46,1,1482444
699,18.49,-66.42,4,1483631
700,18.49,-66.38,2,1484821
701,18.49,-66.34,3,1486019
702,18.49,-66.3,1,1487220
703,18.49,-66.26,1,1488423
704,18.49,-66.22,0,1489626
705,18.49,-66.18,0,1490829
706,18.49,-66.14,0,1492032
707,18.49,-66.1,0,1493237
708,18.49,-66.06,0,1494443
709,18.49,-66.02,0,1495651
710,18.49,-65.98,0,1496862
711,18.49,-65.94,0,1498077
712,18.49,-65.9,0,1499295
713,18.49,-65.86,0,1500507
714,18.49,-64.78,0,1533354
715,18.49,-64.74,0,1534586
716,18.49,-64.7,0,1535828
717,18.49,-64.46,2,1543269
718,18.49,-64.42,8,1544505
719,18.49,-64.38,101,1545740
720,18.49,-64.34,13,1546973
721,18.49,-64.3,0,1548181
722,18.53,-67.18,0,1461178
723,18.53,-67.14,2,1462354
724,18.53,-67.1,6,1463530
725,18.53,-67.06,6,1464706
726,18.53,-67.02,2,1465879
727,18.53,-66.98,0,1467052
728,18.53,-66.94,0,1468231
729,18.53,-66.86,0,1470598
730,18.53,-66.82,0,1471783
731,18.53,-66.78,0,1472968
732,18.53,-66.7,0,1475337
733,18.53,-66.66,0,1476523
734,18.53,-66.62,0,1477708
735,18.53,-64.42,0,1544504
736,18.53,-64.38,1,1545739
737,18.53,-64.34,1,1546972
738,18.53,-64.3,0,1548180
739,18.69,-64.42,0,1544500
740,18.69,-64.38,0,1545735
741,18.69,-64.34,0,1546968
742,18.69,-64.3,2,1548176
743,18.69,-64.26,0,1549370
744,18.73,-64.42,0,1544499
745,18.73,-64.38,2,1545734
746,18.73,-64.34,2,1546967
747,18.73,-64.3,1,1548175
748,18.73,-64.26,0,1549369
749,18.77,-64.42,0,1544498
750,18.77,-64.38,0,1545733
751,18.77,-64.34,0,1546966
752,18.77,-64.3,0,1548174
753,18.77,-64.26,0,1549368
