nodo_id,region
1194,Centro
1195,Centro
1196,Centro
1197,Centro
1198,Centro
1199,Centro
1200,Centro
1201,Centro
1202,Centro
1203,Centro
1204,Centro
1205,Centro
1206,Centro
1207,Centro
1208,Centro
1209,Centro
1210,Centro
1211,Centro
1212,Centro
1213,Centro
1214,Centro
1215,Centro
1216,Centro
1217,Sur
1218,Sur
1219,Sur
1220,Sur
1221,Sur
1222,Centro
1223,Centro
1224,Centro
1225,Centro
1226,Sur
1227,Centro
1228,Altiplano
1229,Altiplano
1230,Altiplano
1231,Altiplano
1232,Altiplano
1233,Altiplano
1234,Altiplano
1235,Altiplano
1236,Altiplano
1237,Altiplano
1238,Altiplano
1239,Altiplano
1240,Altiplano
1241,Altiplano
1242,Altiplano
1243,Altiplano
1244,Altiplano
1245,Altiplano
1246,Altiplano
1247,Altiplano
1248,Altiplano
1249,Altiplano
1250,Centro
1251,Centro
1252,Centro
1253,Centro
1254,Centro
1255,Centro
1256,Centro
1257,Centro
1258,Centro
1259,Centro
1260,Centro
1261,Centro
1262,Centro
1263,Centro
1264,Centro
1265,Centro
1266,Centro
1267,Centro
1268,Centro
1269,Centro
1270,Centro
1271,Centro
1272,Centro
1273,Centro
1274,Centro
1275,Centro
1276,Centro
1277,Centro
1278,Centro
1279,Centro
1280,Centro
1281,Centro
1282,Centro
1283,Centro
1284,Centro
1285,Centro
1286,Altiplano
1287,Altiplano
1288,Altiplano
1289,Altiplano
1290,Altiplano
1291,Altiplano
1292,Altiplano
1293,Altiplano
1294,Altiplano
1295,Altiplano
1296,Altiplano
1297,Altiplano
1298,Altiplano
1299,Altiplano
1300,Altiplano
1301,Altiplano
1302,Altiplano
1303,Altiplano
1304,Altiplano
1305,Centro
1306,Centro
1307,Centro
1308,Centro
1309,Centro
1310,Centro
1311,Centro
1312,Centro
1313,Centro
1314,Centro
1315,Centro
1316,Centro
1317,Centro
1318,Centro
1319,Centro
1320,Centro
1321,Centro
1322,Centro
1323,Centro
1324,Centro
1325,Centro
